plat_nomor,nomor_rangka,warna,model,tipe,tahun_dibuat,tanggal_masa_pajak,pkb,pkb_progresif,opsen_pkb,opsen_pkb_progresif,swdkllj,parkir_berlangganan,pengesahan_stnk,cetak_stnk,cetak_tnkb
N 4631 LH,36688,Abu-Abu,Yamaha Aerox 155,B3WS6KPKW,2012,30 November 2025,124000,0,81840,0,35000,0,0,100000,60000
AG 4264 MHE,67022,Abu-Abu,Yamaha Freego,B7KEMKYEB,2013,2 Mei 2025,150000,0,99000,0,83000,0,0,100000,60000
AG 9871 ZPT,85709,Orange,Kawasaki KLX 150,KLX150Q7JWM5,2015,7 Juli 2024,250000,0,165000,0,35000,0,0,100000,60000
W 2151 WU,81801,Abu-Abu,Suzuki Satria F150,SF150D7186P,2011,19 Januari 2026,250000,0,165000,0,83000,0,0,100000,60000
S 2636 DQ,66291,Orange,Yamaha Vixion R,B4W7FSABQ,2018,10 Oktober 2025,225000,0,148500,0,83000,0,0,100000,60000
W 1156 GHH,29505,Hijau,Suzuki GSX-R150,GX150OL8C4W,2012,1 Mei 2024,124000,0,81840,0,35000,0,0,100000,60000
S 7307 UOG,64395,Abu-Abu,Honda CB150R,CB150RAKUNQH,2017,10 Agustus 2025,95000,0,62700,0,83000,0,0,100000,60000
N 1932 XEP,32166,Merah,Suzuki Satria F150,SF150F95MBA,2022,11 Januari 2024,85000,0,56100,0,83000,0,0,100000,60000
L 8792 YNE,11336,Silver,Honda Scoopy,JFB1R5SSXR,2010,27 November 2024,124000,0,81840,0,83000,0,0,100000,60000
M 7623 LAE,46154,Silver,Kawasaki KLX 150,KLX1503TBO5Z,2020,20 Januari 2025,150000,0,99000,0,35000,0,0,100000,60000
W 4052 ZM,11628,Abu-Abu,Kawasaki Ninja 250,EX25077HBFF,2020,28 Juli 2024,175000,0,115500,0,83000,0,0,100000,60000
AE 2199 OMM,92551,Hitam,Yamaha Aerox 155,B3WN1AUS9,2019,20 Januari 2026,124000,0,81840,0,35000,0,0,100000,60000
L 8190 HST,08931,Abu-Abu,Yamaha Vixion R,B4W4I8W17,2012,27 Oktober 2024,85000,0,56100,0,35000,0,0,100000,60000
S 1832 XZM,46450,Orange,Yamaha NMAX 155,SED38I5EX5,2022,5 Juli 2024,175000,0,115500,0,35000,0,0,100000,60000
L 4229 NI,74926,Putih,Honda Beat,JFW1KYTIO0,2024,25 Februari 2025,150000,0,99000,0,35000,0,0,100000,60000
P 1651 SMY,55066,Hijau,Yamaha Freego,B7KC9DE1F,2017,26 Juni 2024,85000,0,56100,0,83000,0,0,100000,60000
AE 7407 TOJ,30875,Abu-Abu,Honda PCX 160,KF30GQVWQL,2018,20 Agustus 2025,225000,0,148500,0,35000,0,0,100000,60000
S 2066 SMH,19198,Hijau,Suzuki Satria F150,SF1504I6T6I,2017,4 Juni 2024,250000,0,165000,0,35000,0,0,100000,60000
L 4844 DVH,40661,Hitam,Yamaha Freego,B7K9HRLFV,2013,27 November 2024,250000,0,165000,0,35000,0,0,100000,60000
L 7006 QWW,16812,Hijau,Honda Beat,JFW17HR4IR,2022,26 Agustus 2024,110000,0,72600,0,83000,0,0,100000,60000
P 2654 QJ,86568,Orange,Honda Revo 110,HB5G2EPBH,2021,21 Agustus 2025,250000,0,165000,0,35000,0,0,100000,60000
AG 7597 XC,09873,Kuning,Honda Vario 125,JFH1933BQO,2024,17 April 2025,225000,0,148500,0,35000,0,0,100000,60000
N 9401 GF,92672,Silver,Honda Scoopy,JFB10YS7GE,2012,3 April 2025,175000,0,115500,0,83000,0,0,100000,60000
P 6547 VMD,68480,Putih,Honda CB150R,CB150RCG6NE4,2010,7 Januari 2026,175000,0,115500,0,83000,0,0,100000,60000
AG 6528 AR,20123,Merah,Suzuki GSX-R150,GX150DV3L2A,2013,5 Januari 2026,225000,0,148500,0,83000,0,0,100000,60000
S 3998 ET,23485,Biru,Yamaha Freego,B7KHKFYCC,2022,27 November 2025,150000,0,99000,0,35000,0,0,100000,60000
N 2978 JTJ,15688,Silver,Kawasaki KLX 150,KLX150EADDU8,2022,14 Januari 2026,95000,0,62700,0,35000,0,0,100000,60000
N 2073 KB,66417,Kuning,Honda CB150R,CB150R01OJPZ,2017,10 Mei 2025,85000,0,56100,0,35000,0,0,100000,60000
AE 4184 LG,52853,Kuning,Kawasaki Ninja 250,EX250LBMK5D,2011,26 Oktober 2024,150000,0,99000,0,83000,0,0,100000,60000
AE 9546 GDS,75289,Merah,Honda PCX 160,KF30LTWAWZ,2016,28 Juni 2024,135000,0,89100,0,35000,0,0,100000,60000
L 3452 EVN,21914,Biru,Yamaha NMAX 155,SED3TBX39I,2021,4 September 2025,110000,0,72600,0,83000,0,0,100000,60000
M 2613 RIY,95967,Merah,Kawasaki KLX 150,KLX1505ICDNQ,2023,19 Mei 2025,95000,0,62700,0,83000,0,0,100000,60000
AE 1610 GWF,59756,Kuning,Yamaha NMAX 155,SED3JW87SZ,2015,4 November 2025,225000,0,148500,0,83000,0,0,100000,60000
L 2525 SSY,81646,Hitam,Yamaha Freego,B7KNQX3B4,2021,27 Oktober 2024,124000,0,81840,0,83000,0,0,100000,60000
L 8080 FXT,25054,Putih,Kawasaki Ninja 250,EX250ZF2JXJ,2024,13 Februari 2024,150000,0,99000,0,35000,0,0,100000,60000
L 2764 SS,81319,Hitam,Suzuki Satria F150,SF150X1FE8K,2023,6 Juli 2025,250000,0,165000,0,83000,0,0,100000,60000
M 5259 ABD,58343,Putih,Yamaha Freego,B7KLW87OX,2011,18 Mei 2024,85000,0,56100,0,35000,0,0,100000,60000
AG 7871 RIG,72471,Biru,Yamaha NMAX 155,SED3TFX4R6,2013,28 November 2024,250000,0,165000,0,35000,0,0,100000,60000
AE 3739 OG,91650,Orange,Kawasaki KLX 150,KLX150COR7Y8,2016,21 Mei 2025,250000,0,165000,0,35000,0,0,100000,60000
S 6628 EQY,46150,Hitam,Yamaha NMAX 155,SED31JCN5Q,2014,11 Mei 2026,250000,0,165000,0,35000,0,0,100000,60000
S 2866 FGE,19041,Biru,Yamaha Aerox 155,B3WKAN401,2023,22 Juni 2025,250000,0,165000,0,35000,0,0,100000,60000
S 4220 LN,26353,Orange,Honda Revo 110,HB5W3VTYU,2011,18 September 2024,225000,0,148500,0,35000,0,0,100000,60000
AG 6476 JK,23884,Silver,Honda Vario 125,JFH1BIKB2R,2023,25 April 2024,225000,0,148500,0,35000,0,0,100000,60000
AE 9861 PQ,92416,Hitam,Kawasaki KLX 150,KLX1501UIAJQ,2011,9 Agustus 2024,85000,0,56100,0,35000,0,0,100000,60000
M 8042 XP,50450,Merah,Yamaha Vixion R,B4WQ6YHAB,2017,3 Januari 2026,95000,0,62700,0,35000,0,0,100000,60000
P 3721 XJ,50521,Orange,Honda Scoopy,JFB1E3SPX0,2016,19 Februari 2025,85000,0,56100,0,83000,0,0,100000,60000
L 6054 RP,94704,Orange,Yamaha Vixion R,B4W08WM20,2020,17 Februari 2024,85000,0,56100,0,83000,0,0,100000,60000
S 6064 JH,85868,Biru,Yamaha NMAX 155,SED3BT1QW6,2014,30 November 2024,175000,0,115500,0,83000,0,0,100000,60000
W 4676 VZ,14363,Orange,Yamaha Aerox 155,B3W0WE0VC,2023,3 Januari 2024,110000,0,72600,0,83000,0,0,100000,60000
W 6199 WL,48114,Biru,Suzuki Satria F150,SF150E9DUG9,2015,25 Mei 2025,95000,0,62700,0,83000,0,0,100000,60000
W 1477 DQI,14623,Kuning,Honda Scoopy,JFB11755XW,2019,22 Februari 2026,175000,0,115500,0,35000,0,0,100000,60000
AE 5289 AIP,45281,Hitam,Kawasaki KLX 150,KLX150ZWDYKM,2016,16 Desember 2024,124000,0,81840,0,35000,0,0,100000,60000
N 1110 LT,76101,Orange,Honda Beat,JFW1XF5Q3J,2014,30 April 2025,150000,0,99000,0,35000,0,0,100000,60000
W 4295 MHA,61003,Hijau,Kawasaki Ninja 250,EX250LCUFVJ,2014,15 Juli 2024,95000,0,62700,0,35000,0,0,100000,60000
N 2901 AM,69231,Kuning,Kawasaki KLX 150,KLX15061ESVQ,2019,17 Juni 2024,135000,0,89100,0,35000,0,0,100000,60000
N 5132 MD,50404,Orange,Yamaha Freego,B7KJ4BX95,2011,4 Desember 2024,200000,0,132000,0,35000,0,0,100000,60000
P 8018 SRP,40105,Abu-Abu,Honda PCX 160,KF30ZQCLO8,2014,17 Mei 2026,135000,0,89100,0,35000,0,0,100000,60000
AG 1176 UE,95085,Hijau,Honda Beat,JFW1SKE1AZ,2012,30 Januari 2024,225000,0,148500,0,83000,0,0,100000,60000
S 5995 DC,72989,Silver,Kawasaki KLX 150,KLX150PSWEID,2017,13 Oktober 2024,124000,0,81840,0,35000,0,0,100000,60000
AG 6331 JGV,20962,Biru,Yamaha NMAX 155,SED3239Q45,2012,10 Juli 2025,200000,0,132000,0,35000,0,0,100000,60000
L 4043 YD,16466,Hitam,Honda CB150R,CB150RWXEST0,2020,6 Juni 2024,175000,0,115500,0,35000,0,0,100000,60000
L 6769 BW,17510,Merah,Suzuki GSX-R150,GX15016YRXM,2013,18 Juni 2025,175000,0,115500,0,35000,0,0,100000,60000
M 8709 YT,14398,Biru,Kawasaki KLX 150,KLX150FGZ73J,2016,11 Agustus 2025,95000,0,62700,0,83000,0,0,100000,60000
AE 4067 OB,95609,Kuning,Honda Vario 125,JFH1UT6KLE,2022,26 Oktober 2024,124000,0,81840,0,83000,0,0,100000,60000
L 1395 YXE,28752,Biru,Honda Scoopy,JFB1C5EQB8,2020,11 Desember 2025,95000,0,62700,0,35000,0,0,100000,60000
P 5229 UL,30551,Hitam,Yamaha Aerox 155,B3WCBBCMM,2015,17 Januari 2026,200000,0,132000,0,83000,0,0,100000,60000
AE 9454 WWX,08084,Kuning,Honda Beat,JFW121WISH,2013,13 Januari 2025,110000,0,72600,0,35000,0,0,100000,60000
L 6419 KYU,08198,Putih,Yamaha Aerox 155,B3WETNSM8,2018,21 Februari 2025,110000,0,72600,0,83000,0,0,100000,60000
S 6867 FGR,41275,Silver,Yamaha NMAX 155,SED32F1VFH,2014,5 Oktober 2024,225000,0,148500,0,35000,0,0,100000,60000
L 5114 XW,93896,Kuning,Honda Beat,JFW1CIQ2GO,2015,21 September 2025,175000,0,115500,0,83000,0,0,100000,60000
L 9050 IS,74144,Biru,Honda Beat,JFW1OM4GKE,2011,27 Agustus 2024,175000,0,115500,0,83000,0,0,100000,60000
N 1755 AL,34434,Hijau,Honda Scoopy,JFB1YK1YQ4,2021,24 Mei 2024,124000,0,81840,0,83000,0,0,100000,60000
P 7682 LX,41989,Abu-Abu,Kawasaki KLX 150,KLX150RO4X2C,2024,8 Maret 2026,85000,0,56100,0,83000,0,0,100000,60000
N 6717 TP,61333,Orange,Honda Revo 110,HB5WFYEGF,2010,1 Februari 2026,135000,0,89100,0,83000,0,0,100000,60000
M 8693 XO,57064,Silver,Suzuki GSX-R150,GX15088YN45,2024,4 Maret 2024,124000,0,81840,0,83000,0,0,100000,60000
L 4161 NWC,81807,Kuning,Honda Beat,JFW1N8IPLY,2024,29 Januari 2026,135000,0,89100,0,83000,0,0,100000,60000
P 2999 IN,29775,Silver,Yamaha R15,B74ASCC4D,2010,16 Oktober 2025,200000,0,132000,0,83000,0,0,100000,60000
P 8894 SCN,73321,Biru,Yamaha Aerox 155,B3WHBPWKO,2011,13 Januari 2024,200000,0,132000,0,83000,0,0,100000,60000
M 4123 GPG,23173,Abu-Abu,Honda Beat,JFW1G1CVYL,2011,10 Mei 2024,85000,0,56100,0,83000,0,0,100000,60000
AG 6580 YKW,02350,Putih,Honda PCX 160,KF3092S9QG,2024,23 Mei 2026,95000,0,62700,0,83000,0,0,100000,60000
S 9828 BCN,03396,Hijau,Kawasaki Ninja 250,EX2509A3L6S,2013,16 Februari 2026,225000,0,148500,0,83000,0,0,100000,60000
W 7300 WI,15226,Abu-Abu,Yamaha Freego,B7KRFG01H,2017,1 Februari 2025,225000,0,148500,0,83000,0,0,100000,60000
S 9664 EJ,61347,Orange,Suzuki GSX-R150,GX150ITUGSW,2020,12 Desember 2024,175000,0,115500,0,83000,0,0,100000,60000
P 8443 MP,83587,Biru,Yamaha Vixion R,B4W0V9PF7,2021,19 September 2025,135000,0,89100,0,83000,0,0,100000,60000
P 5406 DI,10296,Biru,Suzuki GSX-R150,GX1507EAF5N,2015,18 Juli 2025,150000,0,99000,0,83000,0,0,100000,60000
L 9731 JJ,19299,Abu-Abu,Honda Revo 110,HB5P8AZQO,2010,28 Agustus 2025,95000,0,62700,0,83000,0,0,100000,60000
N 7609 CY,59634,Hijau,Honda Vario 125,JFH12XV0I0,2017,12 November 2025,124000,0,81840,0,83000,0,0,100000,60000
AG 5187 CO,72070,Putih,Honda CB150R,CB150R5GEICK,2019,3 Agustus 2025,124000,0,81840,0,35000,0,0,100000,60000
M 4974 ZX,07522,Hijau,Honda Revo 110,HB5IF25FF,2024,23 Desember 2024,124000,0,81840,0,35000,0,0,100000,60000
M 5542 RL,29615,Hijau,Honda Beat,JFW1A3XB11,2010,3 September 2025,124000,0,81840,0,35000,0,0,100000,60000
AE 2087 RRG,12255,Putih,Yamaha Mio M3,F3GMWY67M,2021,12 Februari 2026,150000,0,99000,0,35000,0,0,100000,60000
S 9683 OLJ,97372,Hitam,Honda CB150R,CB150R51Q70A,2024,3 Agustus 2024,95000,0,62700,0,35000,0,0,100000,60000
AE 7414 HFA,06253,Hitam,Yamaha Aerox 155,B3W47Y3PB,2011,30 Mei 2024,225000,0,148500,0,35000,0,0,100000,60000
AE 9737 QH,68280,Biru,Honda Vario 125,JFH1N77UC5,2014,25 Januari 2025,225000,0,148500,0,35000,0,0,100000,60000
P 1451 JBC,98494,Kuning,Yamaha NMAX 155,SED3KBPTZR,2022,19 Mei 2026,150000,0,99000,0,35000,0,0,100000,60000
P 7381 SZF,76159,Kuning,Yamaha NMAX 155,SED3D7VE52,2019,1 Februari 2026,250000,0,165000,0,83000,0,0,100000,60000
S 5938 RX,34049,Orange,Honda Revo 110,HB5OLN5W7,2024,11 Desember 2023,150000,0,99000,0,35000,0,0,100000,60000
L 4187 DVX,69983,Orange,Honda Beat,JFW17DUWAW,2021,28 Maret 2025,110000,0,72600,0,83000,0,0,100000,60000
AE 7856 LK,48832,Merah,Yamaha Vixion R,B4W4C40IR,2014,25 Februari 2026,200000,0,132000,0,83000,0,0,100000,60000
N 6330 QP,38439,Hijau,Honda Scoopy,JFB1UKYNH0,2010,23 Februari 2026,124000,0,81840,0,35000,0,0,100000,60000
AE 9762 OYH,69176,Biru,Yamaha Freego,B7KET5SYT,2011,18 Oktober 2024,124000,0,81840,0,35000,0,0,100000,60000
N 6723 BQ,75650,Biru,Honda Revo 110,HB5YUTTT5,2014,24 Desember 2024,200000,0,132000,0,35000,0,0,100000,60000
M 9263 QTB,01119,Merah,Honda Scoopy,JFB1PGPOSJ,2012,22 Mei 2026,124000,0,81840,0,35000,0,0,100000,60000
AE 5989 KCO,73537,Silver,Honda Scoopy,JFB1Y3PAWJ,2020,13 September 2025,95000,0,62700,0,83000,0,0,100000,60000
S 7326 GW,66957,Kuning,Honda Scoopy,JFB16IDYDN,2022,13 Januari 2024,135000,0,89100,0,35000,0,0,100000,60000
AG 7441 AB,44436,Hijau,Yamaha Freego,B7KC5K07X,2014,7 Januari 2024,85000,0,56100,0,83000,0,0,100000,60000
AE 5822 CUN,14967,Kuning,Honda Scoopy,JFB1DP73K5,2012,20 Oktober 2025,135000,0,89100,0,35000,0,0,100000,60000
N 6170 MSJ,19293,Orange,Yamaha NMAX 155,SED3INT2HT,2017,27 Maret 2024,175000,0,115500,0,83000,0,0,100000,60000
P 8194 LXP,77616,Putih,Kawasaki Ninja 250,EX250OBEQUM,2013,8 Maret 2024,150000,0,99000,0,83000,0,0,100000,60000
P 4074 MKD,24012,Kuning,Yamaha Mio M3,F3G7Q82EM,2016,8 Agustus 2025,250000,0,165000,0,83000,0,0,100000,60000
AG 2103 QN,86738,Kuning,Yamaha NMAX 155,SED3W3PBC7,2011,11 Desember 2024,250000,0,165000,0,83000,0,0,100000,60000
M 2232 YHQ,96006,Hijau,Kawasaki Ninja 250,EX250QL7K3F,2014,25 Maret 2026,85000,0,56100,0,83000,0,0,100000,60000
S 6931 ZF,19471,Biru,Honda Vario 125,JFH1LQEPM8,2012,7 Oktober 2025,175000,0,115500,0,35000,0,0,100000,60000
P 2252 ZGO,66314,Hijau,Honda PCX 160,KF30SALJRC,2024,14 April 2026,225000,0,148500,0,83000,0,0,100000,60000
S 1074 VK,18762,Kuning,Suzuki GSX-R150,GX1504BUO15,2011,10 Oktober 2025,110000,0,72600,0,35000,0,0,100000,60000
P 5009 AO,74192,Putih,Kawasaki Ninja 250,EX250R0T4T1,2024,27 Mei 2026,175000,0,115500,0,35000,0,0,100000,60000
L 5569 EN,14277,Silver,Yamaha R15,B74Y35YT9,2013,6 April 2025,225000,0,148500,0,83000,0,0,100000,60000
N 5423 LN,00387,Hitam,Honda Beat,JFW137WHPK,2015,20 Agustus 2025,135000,0,89100,0,83000,0,0,100000,60000
AG 4128 AQQ,25235,Hitam,Yamaha Aerox 155,B3WF4SWR4,2018,12 Juni 2024,110000,0,72600,0,35000,0,0,100000,60000
AE 1919 FO,43668,Hitam,Yamaha NMAX 155,SED3N2IS4M,2020,13 Juni 2025,175000,0,115500,0,83000,0,0,100000,60000
W 4432 TR,17047,Abu-Abu,Suzuki GSX-R150,GX150YQX095,2016,26 Desember 2024,124000,0,81840,0,35000,0,0,100000,60000
N 3964 AKR,69440,Merah,Yamaha R15,B749US6QP,2013,18 Februari 2025,225000,0,148500,0,35000,0,0,100000,60000
L 5247 UKG,70983,Orange,Honda CB150R,CB150RC0450X,2020,14 September 2025,175000,0,115500,0,83000,0,0,100000,60000
S 2702 SVR,88969,Hitam,Yamaha Vixion R,B4WYEL7S4,2012,28 September 2025,124000,0,81840,0,35000,0,0,100000,60000
AG 3726 RT,55419,Kuning,Honda CB150R,CB150RCEZ60L,2022,20 Juli 2024,85000,0,56100,0,35000,0,0,100000,60000
P 6232 DWN,16584,Hijau,Honda Revo 110,HB5Y4KAMP,2015,8 Februari 2025,225000,0,148500,0,35000,0,0,100000,60000
AG 5273 VN,76071,Kuning,Suzuki Satria F150,SF150EFG0K2,2011,8 Juni 2025,135000,0,89100,0,83000,0,0,100000,60000
P 2216 ELG,63663,Hijau,Yamaha Mio M3,F3GW7DS7K,2024,1 Januari 2025,250000,0,165000,0,83000,0,0,100000,60000
S 6642 AYD,99096,Silver,Suzuki GSX-R150,GX150MFBYNG,2022,12 Maret 2025,95000,0,62700,0,35000,0,0,100000,60000
S 9449 UV,62197,Kuning,Yamaha Vixion R,B4WXGCOB8,2015,29 Januari 2024,200000,0,132000,0,83000,0,0,100000,60000
AG 3374 VL,04435,Hijau,Yamaha NMAX 155,SED3AWOY92,2018,7 September 2024,110000,0,72600,0,83000,0,0,100000,60000
S 4470 CWC,23574,Silver,Kawasaki Ninja 250,EX250FFRTXS,2020,30 Maret 2024,135000,0,89100,0,83000,0,0,100000,60000
P 4029 NE,84754,Putih,Suzuki Satria F150,SF150QR5O1C,2014,6 Februari 2025,85000,0,56100,0,83000,0,0,100000,60000
W 3479 LF,15866,Hijau,Honda Beat,JFW123HKF3,2017,10 Agustus 2024,225000,0,148500,0,83000,0,0,100000,60000
P 8910 BLF,89926,Kuning,Honda Revo 110,HB5RWVK7I,2020,25 Oktober 2024,85000,0,56100,0,83000,0,0,100000,60000
S 1227 FJ,99929,Merah,Kawasaki KLX 150,KLX1507MCWYS,2024,16 April 2025,85000,0,56100,0,35000,0,0,100000,60000
N 3780 SPG,08434,Merah,Suzuki GSX-R150,GX150P90UKT,2017,7 November 2024,225000,0,148500,0,83000,0,0,100000,60000
N 9006 JHV,68480,Biru,Honda CB150R,CB150RJNML4W,2013,2 April 2025,95000,0,62700,0,35000,0,0,100000,60000
S 6229 WA,59408,Silver,Honda PCX 160,KF30QHYPCL,2012,20 Juni 2025,95000,0,62700,0,83000,0,0,100000,60000
AE 6398 US,23166,Orange,Honda CB150R,CB150RKXP124,2017,9 September 2025,250000,0,165000,0,35000,0,0,100000,60000
L 2471 XNZ,61497,Hitam,Yamaha Freego,B7KY0YNOY,2016,3 Februari 2025,85000,0,56100,0,35000,0,0,100000,60000
W 7586 IYK,03923,Hijau,Honda PCX 160,KF302TC8YB,2020,3 Januari 2024,150000,0,99000,0,83000,0,0,100000,60000
M 8865 QE,40778,Kuning,Honda Vario 125,JFH176PIV6,2018,23 April 2024,124000,0,81840,0,83000,0,0,100000,60000
W 1219 RLV,00366,Abu-Abu,Honda PCX 160,KF30PDTB3G,2013,6 November 2024,200000,0,132000,0,35000,0,0,100000,60000
L 4403 NWM,01079,Hitam,Yamaha Freego,B7KA50QTA,2020,31 Oktober 2024,110000,0,72600,0,83000,0,0,100000,60000
N 4684 JR,82166,Abu-Abu,Yamaha NMAX 155,SED3G27YHA,2018,7 Oktober 2025,124000,0,81840,0,35000,0,0,100000,60000
L 4572 QGD,44588,Orange,Kawasaki KLX 150,KLX1508JRXIV,2011,5 April 2024,85000,0,56100,0,83000,0,0,100000,60000
L 8995 VMH,29267,Orange,Yamaha Freego,B7KYQKQ2Y,2022,2 November 2025,85000,0,56100,0,35000,0,0,100000,60000
S 7532 FF,73432,Kuning,Yamaha Freego,B7KD72O20,2018,14 Januari 2026,135000,0,89100,0,83000,0,0,100000,60000
M 4849 VEX,22614,Kuning,Honda Beat,JFW1G4GE6V,2012,15 September 2025,225000,0,148500,0,83000,0,0,100000,60000
L 3130 PT,07380,Hijau,Honda Revo 110,HB5UV4JA2,2015,4 Februari 2025,200000,0,132000,0,83000,0,0,100000,60000
P 5499 PRN,08080,Orange,Honda Revo 110,HB56FUKZD,2014,27 Desember 2025,124000,0,81840,0,35000,0,0,100000,60000
N 2529 WF,00071,Orange,Yamaha Vixion R,B4WNG1VYU,2017,21 September 2025,110000,0,72600,0,35000,0,0,100000,60000
N 1391 JBV,13509,Silver,Honda Beat,JFW1PF32JS,2014,27 Juli 2024,200000,0,132000,0,35000,0,0,100000,60000
L 6743 ZQ,14205,Kuning,Kawasaki KLX 150,KLX150NI1GEX,2024,2 Januari 2025,200000,0,132000,0,83000,0,0,100000,60000
W 4793 HW,24763,Orange,Yamaha R15,B74I4BITQ,2014,17 Mei 2024,250000,0,165000,0,83000,0,0,100000,60000
S 4311 CYG,91805,Merah,Yamaha Freego,B7KOHAX2F,2022,25 Januari 2024,85000,0,56100,0,83000,0,0,100000,60000
W 7621 YXS,78354,Abu-Abu,Kawasaki KLX 150,KLX1503G47SA,2021,14 Januari 2024,225000,0,148500,0,83000,0,0,100000,60000
N 4796 QAT,05695,Silver,Yamaha Aerox 155,B3WMOY84F,2016,31 Januari 2026,110000,0,72600,0,83000,0,0,100000,60000
AG 6960 DRR,18268,Kuning,Kawasaki KLX 150,KLX150EKYK7Y,2010,1 Juni 2026,150000,0,99000,0,83000,0,0,100000,60000
AE 7191 LI,44594,Hitam,Honda Beat,JFW1PZLVCF,2012,15 September 2025,225000,0,148500,0,83000,0,0,100000,60000
L 1382 TCL,20771,Hitam,Yamaha Freego,B7KYSU367,2022,11 Juni 2025,225000,0,148500,0,35000,0,0,100000,60000
AE 9603 OPK,93002,Orange,Honda Revo 110,HB58V9C1C,2012,13 Februari 2026,95000,0,62700,0,83000,0,0,100000,60000
N 6125 RO,45176,Orange,Suzuki Satria F150,SF150RPQZVY,2016,20 Juli 2024,200000,0,132000,0,83000,0,0,100000,60000
AG 6473 YXX,76417,Kuning,Honda PCX 160,KF30TP7HRT,2014,3 Maret 2025,110000,0,72600,0,83000,0,0,100000,60000
M 4468 VT,14366,Orange,Suzuki GSX-R150,GX150LROB93,2012,29 Maret 2026,85000,0,56100,0,83000,0,0,100000,60000
AE 6274 EVC,27257,Abu-Abu,Honda CB150R,CB150RI3KYJC,2018,3 Mei 2024,150000,0,99000,0,83000,0,0,100000,60000
AG 2920 FFY,30936,Silver,Honda CB150R,CB150R9MCJ1M,2022,30 Agustus 2025,110000,0,72600,0,35000,0,0,100000,60000
AE 5642 NJ,88100,Hijau,Kawasaki KLX 150,KLX150XXJ3OF,2019,22 Maret 2024,200000,0,132000,0,35000,0,0,100000,60000
S 3157 EFB,46577,Hijau,Honda Scoopy,JFB18DCNK4,2010,31 Agustus 2025,85000,0,56100,0,35000,0,0,100000,60000
N 8731 MV,55917,Kuning,Yamaha Mio M3,F3GHDGD23,2011,31 Maret 2025,225000,0,148500,0,83000,0,0,100000,60000
N 6652 SCK,45393,Merah,Yamaha Vixion R,B4WXKLUA0,2018,26 November 2024,124000,0,81840,0,83000,0,0,100000,60000
M 6069 OU,59407,Putih,Yamaha NMAX 155,SED36OMK8I,2011,14 November 2025,110000,0,72600,0,83000,0,0,100000,60000
L 8156 IMW,72875,Biru,Honda Beat,JFW1KUVDI0,2023,3 April 2025,250000,0,165000,0,35000,0,0,100000,60000
P 2162 SEM,47285,Hitam,Honda Beat,JFW1ZLP4XK,2016,25 Juli 2025,110000,0,72600,0,83000,0,0,100000,60000
L 1714 HOF,92856,Orange,Honda PCX 160,KF30PJKC9S,2023,14 April 2024,150000,0,99000,0,35000,0,0,100000,60000
S 6757 DFF,50874,Putih,Honda Vario 125,JFH1K1TDBO,2010,21 Oktober 2024,250000,0,165000,0,83000,0,0,100000,60000
L 8562 DAG,44840,Putih,Yamaha Aerox 155,B3W9IFDVB,2011,14 September 2024,250000,0,165000,0,35000,0,0,100000,60000
W 7256 WOX,98266,Putih,Yamaha Aerox 155,B3WY7JOA9,2010,22 Agustus 2025,175000,0,115500,0,35000,0,0,100000,60000
S 4833 XT,62612,Merah,Yamaha NMAX 155,SED3QLREYL,2022,17 September 2025,150000,0,99000,0,35000,0,0,100000,60000
W 9906 DKK,88449,Orange,Kawasaki Ninja 250,EX250T2QGAW,2013,12 Agustus 2025,200000,0,132000,0,35000,0,0,100000,60000
L 1645 SFQ,45933,Kuning,Yamaha Aerox 155,B3WO4XPCZ,2024,4 Desember 2024,85000,0,56100,0,35000,0,0,100000,60000
S 9584 VW,62850,Biru,Yamaha NMAX 155,SED3C8A1YH,2014,7 November 2025,225000,0,148500,0,83000,0,0,100000,60000
AE 4013 IBX,99452,Orange,Kawasaki Ninja 250,EX250ODS9GM,2011,20 November 2025,175000,0,115500,0,83000,0,0,100000,60000
S 6998 GS,75742,Putih,Honda Revo 110,HB5L7A0YZ,2019,7 Agustus 2024,250000,0,165000,0,83000,0,0,100000,60000
W 9338 GEV,37432,Abu-Abu,Honda Revo 110,HB5LMC7U1,2012,24 Juli 2025,124000,0,81840,0,35000,0,0,100000,60000
W 1806 EJU,16043,Silver,Honda Vario 125,JFH1CG3M6A,2014,28 Februari 2026,95000,0,62700,0,83000,0,0,100000,60000
N 3433 TUA,86558,Hijau,Yamaha Vixion R,B4W6H4VJX,2010,12 Juni 2025,150000,0,99000,0,83000,0,0,100000,60000
L 3220 EVU,51798,Putih,Yamaha Vixion R,B4WHUMVLV,2017,17 Mei 2024,85000,0,56100,0,83000,0,0,100000,60000
L 5051 SQV,57438,Orange,Honda Vario 125,JFH1D6G79Q,2022,8 Maret 2024,95000,0,62700,0,83000,0,0,100000,60000
AE 9950 NWJ,55200,Putih,Honda Revo 110,HB5MLSSLQ,2013,26 Desember 2023,110000,0,72600,0,35000,0,0,100000,60000
L 4793 TGQ,38326,Kuning,Yamaha Mio M3,F3G2A9P94,2018,24 Desember 2025,150000,0,99000,0,35000,0,0,100000,60000
P 1513 FB,53901,Biru,Honda Scoopy,JFB13KLTD3,2012,12 Maret 2026,110000,0,72600,0,35000,0,0,100000,60000
